Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,11,Espanyol ,0 – 0 ,Athletic Club ,RCDE Stadium ,6 de noviembre ,16:15 ,22835,Trujillo Suárez ,3,0
2016,11,Villarreal ,2 – 0 ,Betis ,El Madrigal ,6 de noviembre ,18:30 ,18826,Vicandi Garrido ,2,0
2016,11,Sevilla ,1 – 2 ,Barcelona ,Sánchez-Pizjuán ,6 de noviembre ,20:45 ,40812,Jaime Latre ,10,0
2016,12,Betis ,2 – 0 , Las Palmas ,Villamarín ,18 de noviembre ,20:45 ,34114,González González ,1,0
2016,12,Deportivo de La Coruña ,2 – 3 ,Sevilla ,Riazor ,19 de noviembre ,13:00 ,21096,Mateu Lahoz ,5,0
2016,12,Barcelona ,0 – 0 ,Málaga ,Camp Nou ,19 de noviembre ,16:15 ,83439,De Burgos Bengoetxea ,2,2
2016,12,Eibar ,1 – 0 ,Celta de Vigo ,Ipurúa ,19 de noviembre ,18:30 ,5503,Munuera Montero ,7,2
2016,12,Atlético de Madrid ,0 – 3 ,Real Madrid ,Vicente Calderón ,19 de noviembre ,20:45 ,53741,Fernández Borbalán ,6,0
2016,12,Deportivo Alavés ,0 – 1 ,Espanyol ,Mendizorroza ,20 de noviembre ,12:00 ,19550,Melero López ,7,0
2016,12,Valencia ,1 – 1 ,Granada ,Mestalla ,20 de noviembre ,16:15 ,34884,Hernández Hernández ,7,0
2016,12,Sporting de Gijón ,1 – 3 ,Real Sociedad ,El Molinón ,20 de noviembre ,18:30 ,23439,Martínez Munuera ,3,0
2016,12,Athletic Club ,1 – 0 ,Villarreal ,San Mamés ,20 de noviembre ,20:45 ,38245,Sánchez Martínez ,2,0
2016,12,Leganés ,2 – 0 ,Osasuna ,Butarque ,21 de noviembre ,20:45 ,8827,Iglesias Villanueva ,5,0
2016,13,Eibar ,3 – 1 ,Betis ,Ipurúa ,25 de noviembre ,20:45 ,5150,Ocón Arráiz ,1,1
