Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee
2014,17,03/01/2015,Deportivo de La Coruña,1-0,Athletic Club,Riazor,Undiano Mallenco
2014,17,03/01/2015,Málaga,1-2,Almería,La Rosaleda,Teixeira Vitienes
2014,17,04/01/2015,Getafe,1-2,Rayo Vallecano,Hernández Hernández,Hernández Hernández
2014,17,04/01/2015,Valencia,2-1,Real Madrid,Mestalla,Gil Manzano
2014,17,04/01/2015,Espanyol,1-2,Eibar,Cornellá - El Prat,Mateu Lahoz
2014,17,04/01/2015,Real Sociedad,1-0,Barcelona,Anoeta,Del Cerro Grande
2014,17,05/01/2015,Córdoba,2-0,Granada,El Arcángel,Bikandi Garrido
2014,18,09/01/2015,Levante,0-0,Deportivo de La Coruña,Ciutat de València,Pérez Montero
2014,18,10/01/2015,Real Madrid,3-0,Espanyol,Santiago Bernabéu,Fernández Borbalán
2014,18,10/01/2015,Málaga,1-1,Villarreal,La Rosaleda,Jaime Latre
2014,18,10/01/2015,Celta de Vigo,1-1,Valencia,Balaídos,González González
2014,18,10/01/2015,Eibar,2-1,Getafe,Ipurua,Clos Gómez
2014,18,11/01/2015,Almería,0-2,Sevilla,Estadio Mediterráneo,Prieto Iglesias
2014,18,11/01/2015,Athletic Club,1-2,Elche,San Mamés,Iglesias Villanueva
2014,18,11/01/2015,Granada,1-1,Real Sociedad,Nuevo Los Cármenes,Martínez Munuera
2014,18,11/01/2015,Barcelona,3-1,Atlético de Madrid,Camp Nou,Undiano Mallenco
2014,18,12/01/2015,Rayo Vallecano,0-1,Córdoba,Vallecas,Estrada Fernández
2014,19,16/01/2015,Córdoba,1-1,Eibar,El Arcángel,Teixeira Vitienes
2014,19,17/01/2015,Real Sociedad,0-1,Rayo Vallecano,Anoeta,Melero López
2014,19,17/01/2015,Valencia,3-2,Almería,Mestalla,Bikandi Garrido
2014,19,17/01/2015,Villarreal,2-0,Athletic Club,El Madrigal,Estrada Fernández
2014,19,17/01/2015,Espanyol,1-0,Celta de Vigo,Cornellá - El Prat,Prieto Iglesias
2014,19,18/01/2015,Getafe,0-3,Real Madrid,Coliseum Alfonso Pérez,Pérez Montero
2014,19,18/01/2015,Atlético de Madrid,2-0,Granada,Vicente Calderón,Iglesias Villanueva
2014,19,18/01/2015,Deportivo de La Coruña,0-4,Barcelona,Riazor,Martínez Munuera
2014,19,18/01/2015,Elche,1-0,Levante,Martínez Valero,Velasco Carballo
2014,19,18/01/2015,Sevilla,2-0,Málaga,Ramón Sánchez Pizjuán,Teixeira Vitienes
2014,20,24/01/2015,Córdoba,1-2,Real Madrid,El Arcángel,Hernández Hernández
2014,20,24/01/2015,Elche,0-6,Barcelona,Martínez Valero,Clos Gómez
2014,20,24/01/2015,Atlético de Madrid,3-1,Rayo Vallecano,Vicente Calderón,Bikandi Garrido
2014,20,24/01/2015,Real Sociedad,1-0,Eibar,Anoeta,González González
2014,20,24/01/2015,Villarreal,1-0,Levante,El Madrigal,Fernández Borbalán
2014,20,25/01/2015,Deportivo de La Coruña,2-2,Granada,Riazor,Del Cerro Grande
2014,20,25/01/2015,Athletic Club,1-1,Málaga,San Mamés,Álvarez Izquierdo
2014,20,25/01/2015,Espanyol,3-0,Almería,Cornellá - El Prat,Undiano Mallenco
